,Date,rainfall,cloudamount,sunshine,humidity,maxtemp,mintemp
0,1989-01-01,0,1,8.3,79,26.5,13
348,1989-01-02,0,1,7.8,77,25.6,13
696,1989-01-03,0,2,7.5,75,26,12.6
1044,1989-01-04,0,0,8.4,78,25.2,14
1392,1989-01-05,0,0,8.1,77,25.2,12.6
1740,1989-01-06,0,0,7.8,78,25.8,12.2
2088,1989-01-07,0,0,8.7,76,27,13.5
2436,1989-01-08,0,1,8.6,81,27.2,13.2
2784,1989-01-09,0,0,8.1,83,26.5,13
3132,1989-01-10,0,1,8.2,72,21.8,14.5
3480,1989-01-11,0,0,9.4,70,22,8.8
3828,1989-01-12,0,0,9.4,72,21,7.4
4176,1989-01-13,0,0,9.5,68,20.7,8
4524,1989-01-14,0,0,9.5,75,22.5,7.8
4872,1989-01-15,0,0,9.5,73,23.1,7.8
5220,1989-01-16,0,0,9.3,72,24,8.5
5568,1989-01-17,0,3,0,80,21,11
5916,1989-01-18,0,0,9.2,70,23.3,7.5
6264,1989-01-19,0,0,9.1,70,22.8,8
6612,1989-01-20,0,0,8.7,70,24,8
6960,1989-01-21,0,0,8.8,70,23.6,8.1
7308,1989-01-22,0,0,9.6,67,23.2,8.5
7656,1989-01-23,0,0,9.3,72,23.2,7.7
8004,1989-01-24,0,0,8.9,72,24.6,8.4
8352,1989-01-25,0,0,9.4,71,25.1,8.6
8700,1989-01-26,0,0,9.4,70,26,8.9
9048,1989-01-27,0,0,9,72,25.8,8.2
9396,1989-01-28,0,0,9,70,24.6,8.9
9744,1989-01-29,0,0,9,63,26.2,8.4
10070,1989-01-30,0,0,9.4,66,26.3,9.4
10389,1989-01-31,0,0,9.2,70,26.2,9.2
1,1989-02-01,0,0,9.4,67,28.1,10.1
349,1989-02-02,0,0,6.9,74,29.8,14.4
697,1989-02-03,0,0,9,67,28.4,14
1045,1989-02-04,0,0,9.5,69,27.7,11.2
1393,1989-02-05,0,1,9.4,70,30.6,12.3
1741,1989-02-06,0,3,8.5,79,31.1,19.1
2089,1989-02-07,0,0,8.6,71,31.3,17.8
2437,1989-02-08,0,0,8.5,72,30.3,16.8
2785,1989-02-09,0,0,9.2,63,27.8,14.4
3133,1989-02-10,0,1,7.3,76,28.5,14.4
3481,1989-02-11,0,2,8.8,63,27.8,15.1
3829,1989-02-12,0,0,8.4,65,26.3,15.9
4177,1989-02-13,0,0,8.7,65,26.7,12.8
4525,1989-02-14,0,2,8,78,30,15
4873,1989-02-15,0,0,7.7,69,30.4,17.7
5221,1989-02-16,0,0,9.4,69,31,13.9
5569,1989-02-17,0,2,9.1,73,30,20
5917,1989-02-18,0,1,6.3,80,31,19.4
6265,1989-02-19,0,3,7.3,68,30,21
6613,1989-02-20,1,0,10,66,23,11.2
6961,1989-02-21,0,0,9.5,66,26.6,9.6
7309,1989-02-22,0,2,8.1,71,28.7,11.5
7657,1989-02-23,7,1,9.4,69,26.8,17
8005,1989-02-24,0,0,9.8,70,26.1,11.4
8353,1989-02-25,0,0,10,68,27.6,9
8701,1989-02-26,0,0,10,72,28.9,11
9049,1989-02-27,0,0,10.1,66,31.2,11.6
9397,1989-02-28,0,0,9.5,69,33.6,15.4
2,1989-03-01,0,2,9,71,33.3,19.5
350,1989-03-02,0,2,8.6,69,33.7,19
698,1989-03-03,0,0,9.8,65,31.4,14.6
1046,1989-03-04,0,0,10.1,59,30.3,15
1394,1989-03-05,0,0,9.9,66,31.2,14
1742,1989-03-06,0,1,9.8,66,32.3,14.2
2090,1989-03-07,0,2,9.3,65,33.8,15.2
2438,1989-03-08,0,1,8.6,73,33.2,17.6
2786,1989-03-09,0,1,7.7,68,32.8,18.4
3134,1989-03-10,0,1,9.8,67,34,18
3482,1989-03-11,0,7,4.2,77,30,18.5
3830,1989-03-12,0,1,9.7,75,30,18
4178,1989-03-13,0,4,8.4,66,31.5,16
4526,1989-03-14,0,0,9.8,64,32.3,17.7
4874,1989-03-15,0,1,10.1,57,33.2,19.5
5222,1989-03-16,0,1,9.7,59,33.9,17.1
5570,1989-03-17,0,2,9.5,64,33.4,19
5918,1989-03-18,0,2,9.6,62,34.7,17.3
6266,1989-03-19,0,3,8.1,64,35.5,21.6
6614,1989-03-20,0,1,9.2,65,35.7,22
6962,1989-03-21,0,0,10,55,35.5,20.5
7310,1989-03-22,0,1,9.7,61,36.7,24.3
7658,1989-03-23,0,1,10,64,36.7,23
8006,1989-03-24,0,2,9.9,62,36.2,23.8
8354,1989-03-25,0,2,9,56,35.8,23.8
8702,1989-03-26,0,1,9.9,58,36.3,23
9050,1989-03-27,0,2,10.1,51,36.8,20.5
9398,1989-03-28,0,3,9.7,52,33.7,19.4
